Name/Alias,Appearances,Current?,Gender,Year,Death1,Return1,Death2,Return2,Death3,Return3,Death4,Return4,Death5,Return5,Notes
"Henry Jonathan ""Hank"" Pym",1269,YES,MALE,1963,YES,NO,,,,,,,,,Merged with Ultron in Rage of Ultron Vol. 1. A funeral was held. 
Janet van Dyne,1165,YES,FEMALE,1963,YES,YES,,,,,,,,,Dies in Secret Invasion V1:I8. Actually was sent tto Microverse later recovered
"Anthony Edward ""Tony"" Stark",3068,YES,MALE,1963,YES,YES,,,,,,,,,"Death: ""Later while under the influence of Immortus Stark committed a number of horrible acts and was killed.'  This set up young Tony. Franklin Richards later brought him back"
Robert Bruce Banner,2089,YES,MALE,1963,YES,YES,,,,,,,,,"Dies in Ghosts of the Future arc. However ""he had actually used a hidden Pantheon base to survive"""
Thor Odinson,2402,YES,MALE,1963,YES,YES,YES,NO,,,,,,,Dies in Fear Itself brought back because that's kind of the whole point. Second death in Time Runs Out has not yet returned
Richard Milhouse Jones,612,YES,MALE,1963,NO,,,,,,,,,,NA
Steven Rogers,3458,YES,MALE,1964,YES,YES,,,,,,,,,Dies at the end of Civil War. Later comes back. 
Clinton Francis Barton,1456,YES,MALE,1965,YES,YES,YES,YES,,,,,,,Dies in exploding Kree ship in Averngers Vol. 1  Issue 502. Brought back by Scarlet Witch. Dies again in House of M Vol 1 Issue 7. Is later brought back. 
Pietro Maximoff,769,YES,MALE,1965,YES,YES,,,,,,,,,Dies in House of M Vol 1 Issue 7. Later comes back
Wanda Maximoff,1214,YES,FEMALE,1965,YES,YES,,,,,,,,,Dies in Uncanny_Avengers_Vol_1_14. Later comes back
Jacques Duquesne,115,NO,MALE,1965,YES,YES,,,,,,,,,Dies in Avengers_Vol_1_130. Brought back by the Chaos King
Heracles,741,YES,MALE,1967,NO,,,,,,,,,,NA
T'Challa,780,NO,MALE,1968,NO,,,,,,,,,,NA
Victor Shade (alias),1036,YES,MALE,1968,YES,YES,,,,,,,,,Dies in Avengers_Vol_1_500. Is eventually rebuilt. 
Dane Whitman,482,NO,MALE,1969,NO,,,,,,,,,,NA
Natalia Alianovna Romanova,1112,YES,FEMALE,1973,YES,YES,,,,,,,,,Killed by The Hand. Later revived with The Stone of the Chaste. 
Brandt,160,NO,FEMALE,1973,YES,YES,,,,,,,,,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
Henry P. McCoy,1886,NO,MALE,1976,NO,,,,,,,,,,NA
Heather Douglas,332,NO,FEMALE,1976,YES,YES,YES,YES,,,,,,,"Dies in Defenders_Vol_1_152. Later 'Obtained a new body.' Dies in Annihilation:_Conquest_Vol_1_3. Comes back as ""As before"" also was once named Madame MacEvil because LOL. "
Patsy Walker,557,NO,FEMALE,1976,YES,YES,,,,,,,,,Died during time on Defenders. Eventually ressurected by villian Grim Reaper along with Mockingbird to fight the Avengers. 
Matthew Liebowitz (birth name),197,NO,MALE,1975,YES,YES,YES,NO,,,,,,,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
Robert L. Frank Sr.,106,NO,MALE,1978,YES,NO,,,,,,,,,Died in Vision_and_the_Scarlet_Witch_Vol_1_2. Did not return however he was eventually cloned but the clone was killed immediately. 
Simon Williams,692,YES,MALE,1979,YES,YES,,,,,,,,,Died in Avengers_Vol_1_9. Actually just in a death-like coma. 
Yondu Udonta,109,NO,MALE,1978,NO,,,,,,,,,,NA
Martinex T'Naga,100,NO,MALE,1978,NO,,,,,,,,,,NA
Charlie-27,132,NO,MALE,1978,NO,,,,,,,,,,NA
Nicholette Gold,108,NO,FEMALE,1978,NO,,,,,,,,,,NA
Stakar,100,NO,MALE,1978,NO,,,,,,,,,,NA
Vance Astrovik,156,NO,MALE,1978,NO,,,,,,,,,,NA
Mar-Vell,254,NO,MALE,1978,YES,YES,YES,YES,YES,NO,,,,,The bad penny of the Marvel universe. First killed in Secret invasion. Revived during the Chaos war. Died again during aformentioned chaos war. Resurrected by the Kree Empire using theæM'Kraan Crystal. Third death during Avengers vs. X-Men. Has not return
Carol Susan Jane Danvers,935,YES,FEMALE,1979,NO,,,,,,,,,,NA
Samuel Thomas Wilson,576,YES,MALE,1979,NO,,,,,,,,,,NA
Jocasta,141,YES,FEMALE,1988,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"From her article: Death1: ""Defeated Ultron and reversed the process leaving Jocasta a mindless husk."" Return 1: ""Ultron later revived Jocasta with a remote link activating the mental residue the Wasp left behind"" Death 2: ""Sacrificing herself to try to ki"
Greer Grant Nelson,355,YES,FEMALE,1981,NO,,,,,,,,,,NA
Jennifer Walters,933,YES,FEMALE,1982,YES,YES,,,,,,,,,Dies during Red Hulk Saga. Returns when Lyra infiltrates Intelligenica and finds her in statis
Monica Rambeau,348,YES,FEMALE,1983,NO,,,,,,,,,,NA
Eros,206,NO,MALE,1984,NO,,,,,,,,,,NA
James R. Rhodes,533,NO,MALE,1984,NO,,,,,,,,,,NA
Barbara Barton (nee Morse),374,NO,FEMALE,1984,YES,YES,,,,,,,,,Killed by Mephisto. After Secret Invasion it turns out she was actually being impersonated by a Skrull the whole time and was alive and well. 
Moira Brandon,2,NO,FEMALE,1993,YES,NO,,,,,,,,,Died in her second appearance earns honorary Avengers status doing so. Stays dead. 
Benjamin Jacob Grimm,2305,NO,MALE,1986,YES,YES,,,,,,,,,Once killed during a battle with Doctor Doom.' Brought back by the FF when they literally went to Heaven to get him. 
Bonita Juarez,83,NO,FEMALE,1987,NO,,,,,,,,,,NA
Marc Spector,402,NO,MALE,1988,NO,,,,,,,,,,NA but he he did die and return to get his powers prior to joining the Avengers. 
John F. Walker,352,NO,MALE,1989,NO,,,,,,,,,,NA
Jim Hammond (alias),565,NO,MALE,1989,YES,YES,,,,,,,,,"Dies during New Invaders. Was ""was revived as a living weapon the Thinker intended to sell."" Prior to joining the avengers he had died like 2 times in the 40s. "
Miguel Santos,112,NO,MALE,1991,NO,,,,,,,,,,NA: Has not died since joing the Avengers but prior to joining he fought the West Coast avengers and seemingly died. Later turned up under control of a villain
Julia Carpenter,218,NO,FEMALE,1992,NO,,,,,,,,,,NA
X-51,149,NO,MALE,1992,YES,YES,,,,,,,,,Died in Deathlok Vol 2 #5. JK that was actually just a Life Model Decoy
Christopher Powell,168,NO,MALE,1993,NO,,,,,,,,,,NA
Namor McKenzie,1561,NO,MALE,1985,YES,YES,,,,,,,,,Namor was presumed killed in the battle with Atlantean Barbarians. Had actually survived and turned up in the South Pacific
Scott Edward Harris Lang,217,NO,MALE,2003,YES,YES,,,,,,,,,Died in Avengers:_Disassembled. Was brought back in the Young Avengers: Children's Crusade arc because time travel but take my word for it it was actually kind of well done. 
Anthony Ludgate Druid,158,NO,MALE,1987,YES,YES,YES,YES,,,,,,,Shot with a Breathing gun and corpse dumped in trash. Revived by the Grim Reaper. Helped Avengers defeat the Reaper so his spirit could remain at peace. Later completely revived by the Chaos King.
Marrina Smallwood,86,NO,FEMALE,1987,YES,YES,YES,YES,,,,,,,Killed by Namor with the Ebony Blade. Returned when The Master put her in a statis tube. Death 2 was when Namor mercy killed her. Returned to life a second time by the Chaos King. 
Ravonna Lexus Renslayer,41,NO,FEMALE,1988,YES,YES,YES,NO,,,,,,,Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.
Rita DeMara,68,NO,FEMALE,1988,YES,YES,,,,,,,,,Killed by Iron Man when he was controlled by Immortus. Revived during Chaos war. 
Dennis Dunphy,70,NO,MALE,1988,YES,YES,YES,NO,,,,,,,"Died in Captain_America_348. Actually ""Dunphy miraculously survived the crash and lived with an Inuit tribe."" Second death when killed by Sharon Carter.  "
,61,NO,MALE,1989,YES,YES,,,,,,,,,Killed by Neut who was working for Immortus. Reborn into a new body. 
Reed Richards,2125,YES,MALE,1989,NO,,,,,,,,,,NA
Susan Richards (nee Storm),1761,NO,MALE,1989,NO,,,,,,,,,,NA
Wendell Elvis Vaughn,293,NO,MALE,1989,YES,YES,,,,,,,,,Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy. 
Ashley Crawford,36,YES,FEMALE,1989,NO,,,,,,,,,,NA
,22,NO,FEMALE,1989,YES,NO,,,,,,,,,Died in Great_Lakes_Avengers_Vol_1_1. Has not returned
DeMarr Davis,31,YES,MALE,1989,YES,YES,,,,,,,,,Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death. 
Val Ventura,34,YES,MALE,1989,NO,,,,,,,,,,NA
Craig Hollis,33,YES,MALE,1989,NO,,,,,,,,,,Christ; where to begin. His superpower is that he cannot die when he dies he immediately comes back. The Wikia inventories 24 deaths. These will be excluded from the analysis. 
Gene Lorrene,4,NO,MALE,2005,NO,,,,,,,,,,NA
Dorreen Green,47,NO,FEMALE,2005,NO,,,,,,,,,,NA
